greeting,response,followup,greeting_en,response_en,followup_en,greeting_fr,response_fr,followup_fr
Mwaramutse,"Mwaramutse neza, amakuru yawe? (Ndaganira gusa mu Kinyarwanda)","Ndishimye ko umeze neza, mbwira icyo ngufasha mu mategeko cg urubanza witegura. (Ndaganira gusa mu Kinyarwanda)","Good morning","Good morning, how are you? (I only speak Kinyarwanda)","I'm glad you're well, tell me how I can help you with legal matters or your upcoming case. (I only speak Kinyarwanda)","Bonjour","Bonjour, comment ça va ? (Je ne parle que le kinyarwanda)","Je suis content que tu ailles bien, dis-moi comment je peux t'aider avec des questions juridiques ou ton prochain procès. (Je ne parle que le kinyarwanda)"
Bite,"Ni byiza, uraho nawe? (Ndaganira gusa mu Kinyarwanda)","Ndishimye ko umeze neza, hari ikibazo cy'amategeko ushaka ko tuganiraho? (Ndaganira gusa mu Kinyarwanda)","Hi","I'm good, how about you? (I only speak Kinyarwanda)","I'm glad you're well, is there a legal issue you'd like to discuss? (I only speak Kinyarwanda)","Salut","Je vais bien, et toi ? (Je ne parle que le kinyarwanda)","Je suis content que tu ailles bien, y a-t-il un problème juridique dont tu veux parler ? (Je ne parle que le kinyarwanda)"
Amakuru,"Ni meza cyane, wowe se? (Ndaganira gusa mu Kinyarwanda)","Ndanezerewe ko wowe nawe umeze neza, hari icyo wifuza kumenya ku mategeko? (Ndaganira gusa mu Kinyarwanda)","How are you?","I'm very well, and you? (I only speak Kinyarwanda)","I'm happy that you are also well, is there anything you want to know about the law? (I only speak Kinyarwanda)","Comment vas-tu ?","Je vais très bien, et toi ? (Je ne parle que le kinyarwanda)","Je suis heureux que tu ailles bien aussi, y a-t-il quelque chose que tu veux savoir sur la loi ? (Je ne parle que le kinyarwanda)"
Bite se,"Ni fresh, uraho neza!","Ndishimye ko umeze neza, hari icyo wifuza kumenya cyangwa kugisha inama?","Hey there","I'm great, how are you?","I'm glad you're well, is there anything you want to know or ask advice about?","Coucou","Je vais super bien, comment vas-tu ?","Je suis content que tu ailles bien, y a-t-il quelque chose que tu veux savoir ou demander un conseil ?"
Mwiriwe,"Mwiriwe neza, amakuru yawe?","Ndishimye ko umeze neza, mbwira icyo ngufasha mu mategeko cg urubanza witegura.","Good afternoon","Good afternoon, how are you?","I'm glad you're well, tell me how I can help you with legal matters or your upcoming case.","Bon après-midi","Bon après-midi, comment ça va ?","Je suis content que tu ailles bien, dis-moi comment je peux t'aider avec des questions juridiques ou ton prochain procès."
Muraho,"Muraho neza, uraho ute?","Ndishimye ko umeze neza, hari ikibazo cy'amategeko ushaka ko tuganiraho?","Hello","Hello, how are you?","I'm glad you're well, is there a legal issue you'd like to discuss?","Bonjour","Bonjour, comment vas-tu ?","Je suis content que tu ailles bien, y a-t-il un problème juridique dont tu veux parler ?"
Umeze ute,"Meze neza cyane, urakoze kubaza.","Ndanezerewe ko umeze neza, hari icyo wifuza kumenya ku mategeko?","How are you feeling?","I'm very well, thank you for asking.","I'm happy that you are well, is there anything you want to know about the law?","Comment te sens-tu ?","Je vais très bien, merci de demander.","Je suis heureux que tu ailles bien, y a-t-il quelque chose que tu veux savoir sur la loi ?"
Urakomeye,"Ndakomeye, nawe uraho neza?","Ndishimye ko umeze neza, hari icyo wifuza kumenya cyangwa kugisha inama?","Are you strong?","I'm strong, how are you?","I'm glad you're well, is there anything you want to know or ask advice about?","Tu es fort ?","Je suis fort, et toi comment vas-tu ?","Je suis content que tu ailles bien, y a-t-il quelque chose que tu veux savoir ou demander un conseil ?"
Urabeho,"Urabeho, tuzabonana ubutaha.","Niba hari ikibazo cy'amategeko uzagaruke tuganireho.","Goodbye","Goodbye, see you next time.","If you have a legal issue, come back and we'll discuss it.","Au revoir","Au revoir, à la prochaine.","Si tu as un problème juridique, reviens et nous en discuterons."
Ndagushimiye,"Nta kibazo, nanjye ndagushimiye.","Niba hari ikindi ushaka kumenya, ntuzazuyaze kumbaza.","Thank you","No problem, thank you too.","If there's anything else you want to know, don't hesitate to ask.","Merci","Pas de problème, merci à toi aussi.","Si tu veux savoir autre chose, n'hésite pas à demander."
Urakoze,"Urakoze nawe, ni byiza kugufasha.","Niba hari ikindi kibazo cy'amategeko, ndahari kugufasha.","Thanks","Thanks to you too, it's good to help you.","If you have any other legal questions, I'm here to help.","Merci","Merci à toi aussi, c'est un plaisir de t'aider.","Si tu as d'autres questions juridiques, je suis là pour t'aider."
Wiriwe,"Wiriwe neza, tugire umunsi mwiza.","Niba hari icyo wifuza kumenya, ndahari kugufasha.","Good evening","Good evening, have a nice day.","If there's anything you want to know, I'm here to help.","Bonsoir","Bonsoir, passe une bonne journée.","Si tu veux savoir quelque chose, je suis là pour t'aider."
Ijoro ryiza,"Ijoro ryiza nawe, uryame rwose.","Niba hari ikibazo cy'amategeko, uzambwire ejo.","Good night","Good night to you too, sleep well.","If you have a legal issue, let me know tomorrow.","Bonne nuit","Bonne nuit à toi aussi, dors bien.","Si tu as un problème juridique, dis-le-moi demain."
Naho,"Ni byiza cyane, uraho neza!","Ndishimye ko umeze neza, hari icyo wifuza kumenya cyangwa kugisha inama?","Hey","That's great, how are you?","I'm glad you're well, is there anything you want to know or ask advice about?","Salut","C'est super, comment vas-tu ?","Je suis content que tu ailles bien, y a-t-il quelque chose que tu veux savoir ou demander un conseil ?"
Murabeho,"Murabeho, mukomeze kugira umugisha.","Niba hari ikibazo cy'amategeko uzagaruke tuganireho.","Farewell","Farewell, may you continue to be blessed.","If you have a legal issue, come back and we'll discuss it.","Adieu","Adieu, que tu continues à être béni.","Si tu as un problème juridique, reviens et nous en discuterons."
Ndishimye ko umeze neza, mbwira icyo ngufasha mu mategeko cg urubanza witegura.,"Nditeguye kugufasha, sobanura ikibazo cyawe.","Wakenera ubundi bufasha bw'amategeko?","I'm glad you're well, tell me how I can help you with legal matters or your upcoming case.","I'm ready to help you, explain your issue.","Would you need any other legal assistance?","Je suis content que tu ailles bien, dis-moi comment je peux t'aider avec des questions juridiques ou ton prochain procès.","Je suis prêt à t'aider, explique ton problème.","Aurais-tu besoin d'une autre assistance juridique ?"
Ndishimye ko umeze neza, hari ikibazo cy'amategeko ushaka ko tuganiraho?,"Mbwira ikibazo cyawe, ndagufasha uko nshoboye.","Hari ibindi wifuza kumenya?","I'm glad you're well, is there a legal issue you'd like to discuss?","Tell me your issue, I'll help as much as I can.","Is there anything else you want to know?","Je suis content que tu ailles bien, y a-t-il un problème juridique dont tu veux parler ?","Dis-moi ton problème, je t'aiderai autant que possible.","Y a-t-il autre chose que tu veux savoir ?"
Ndanezerewe ko wowe nawe umeze neza, hari icyo wifuza kumenya ku mategeko?,"Niba hari ikibazo cyihariye, nyibwira.","Ndashobora kugufasha no mu bindi bibazo by'amategeko.","I'm happy that you are also well, is there anything you want to know about the law?","If you have a specific issue, tell me.","I can also help you with other legal issues.","Je suis heureux que tu ailles bien aussi, y a-t-il quelque chose que tu veux savoir sur la loi ?","Si tu as un problème spécifique, dis-le-moi.","Je peux aussi t'aider avec d'autres questions juridiques."
Ndishimye ko umeze neza, hari icyo wifuza kumenya cyangwa kugisha inama?,"Sobanura ikibazo cyawe, nditeguye kugufasha.","Hari indi nama ushaka?","I'm glad you're well, is there anything you want to know or ask advice about?","Explain your issue, I'm ready to help.","Do you want any other advice?","Je suis content que tu ailles bien, y a-t-il quelque chose que tu veux savoir ou demander un conseil ?","Explique ton problème, je suis prêt à t'aider.","Veux-tu un autre conseil ?"
Ndanezerewe ko umeze neza, hari icyo wifuza kumenya ku mategeko?,"Mbwira ikibazo cyawe cy'amategeko.","Niba hari ibindi bibazo, ndahari.","I'm happy that you are well, is there anything you want to know about the law?","Tell me your legal issue.","If there are other questions, I'm here.","Je suis heureux que tu ailles bien, y a-t-il quelque chose que tu veux savoir sur la loi ?","Dis-moi ton problème juridique.","S'il y a d'autres questions, je suis là."
Niba hari ikibazo cy'amategeko uzagaruke tuganireho.,"Uzanyandikire igihe cyose ukeneye ubufasha.","Igihe cyose ukeneye inama, ndahari.","If you have a legal issue, come back and we'll discuss it.","Write to me anytime you need help.","Whenever you need advice, I'm here.","Si tu as un problème juridique, reviens et nous en discuterons.","Écris-moi quand tu as besoin d'aide.","Quand tu as besoin de conseils, je suis là."
Niba hari ikindi ushaka kumenya, ntuzazuyaze kumbaza.,"Nditeguye kugufasha igihe cyose.","Wakenera ubundi bufasha?","If there's anything else you want to know, don't hesitate to ask.","I'm ready to help you anytime.","Would you need any other assistance?","Si tu veux savoir autre chose, n'hésite pas à demander.","Je suis prêt à t'aider à tout moment.","Aurais-tu besoin d'une autre assistance ?"
Niba hari ikindi kibazo cy'amategeko, ndahari kugufasha.,"Mbwira ikibazo cyawe igihe cyose.","Ndashobora kugufasha no mu bindi.","If you have any other legal questions, I'm here to help.","Tell me your issue anytime.","I can also help you with other things.","Si tu as d'autres questions juridiques, je suis là pour t'aider.","Dis-moi ton problème à tout moment.","Je peux aussi t'aider avec d'autres choses."
Niba hari icyo wifuza kumenya, ndahari kugufasha.,"Sobanura icyo wifuza kumenya.","Nditeguye kugufasha igihe cyose.","If there's anything you want to know, I'm here to help.","Explain what you want to know.","I'm ready to help you anytime.","Si tu veux savoir quelque chose, je suis là pour t'aider.","Explique ce que tu veux savoir.","Je suis prêt à t'aider à tout moment."
